periodo_denuncia;anio_denuncia;fecha_descarga;distrito_fiscal;periodo_denuncia;anio_denuncia;fecha_descarga;distrito_fiscal;especialidad;tipo_caso;generico;genero;subgenerico;sub_genero;articulo;des_articulo;cantidad;ubigeo_pjfs;dpto_pjfs;prov_pjfs;dist_pjfs;fecha_corte
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;1;INJURIA,CALUMNIA Y DIFAMACION;1;130;Injuria;2;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;1;INJURIA,CALUMNIA Y DIFAMACION;1;131;Calumnia;5;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL HONOR;1;INJURIA,CALUMNIA Y DIFAMACION;1;132;Difamacion;9;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN ECONOMICO;2;DE OTROS DELITOS ECONOMICOS;2;241-A;Corrupcion en el ambito privado;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;3;DELITOS FINANCIEROS;3;246;Instituciones financieras ilegales;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;3;DELITOS FINANCIEROS;3;247;Financiamiento por medio de informacion fraudulenta;2;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;3;DELITOS MONETARIOS;4;252;Fabricacion y falsificacion de moneda de curso legal;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;3;DELITOS MONETARIOS;4;254;Trafico de moneda falsa;12;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ABIGEATO;5;189-A;Hurto de ganado;61;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ABIGEATO;5;189-B;Hurto de uso de ganado;9;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ABIGEATO;5;189-C;Robo de ganado ;2;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;APROPIACION ILICITA;6;190;Apropiacion ilicita comun;82;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;APROPIACION ILICITA;6;191;Sustraccion de bien propio;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;APROPIACION ILICITA;6;192;Apropiacion irregular;10;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;APROPIACION ILICITA;6;193;Apropiacion de prenda;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;APROPIACION ILICITA;6;S/Art;APRoPIACIoN ILiCITA;3;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;CONTRA EL PATRIMONIO (Sin especificar delito subgenerico);7;S/Art;CoNTRA EL PATRIMoNIo;71;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;DAÑOS;8;205;Daño simple;621;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;DAÑOS;8;206;Formas agravadas;71;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;DAÑOS;8;206-A;Abandono y actos de crueldad contra animales domesticos y silvestres;20;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;DAÑOS;8;S/Art;DAÑoS;46;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ESTAFA Y OTRAS DEFRAUDACIONES;9;196;Estafa;386;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ESTAFA Y OTRAS DEFRAUDACIONES;9;196-A;Estafa agravada;20;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ESTAFA Y OTRAS DEFRAUDACIONES;9;197;Casos de defraudacion;17;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ESTAFA Y OTRAS DEFRAUDACIONES;9;S/Art;ESTAFA Y oTRAS DEFRAUDACIoNES;16;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;EXTORSION;10;200;Extorsion.;154;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;EXTORSION;10;201;Chantaje;7;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;EXTORSION;10;S/Art;EXToRSIoN;8;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;FRAUDE EN LA ADMINISTR. DE PERS. JURID.;11;198;Administracion fraudulenta;5;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;FRAUDE EN LA ADMINISTR. DE PERS. JURID.;11;199;Contabilidad paralela;1;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;HURTO;12;185;Hurto simple;808;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;HURTO;12;186;Hurto agravado;717;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;HURTO;12;187;Hurto de uso;11;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;HURTO;12;S/Art;HURTo;162;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;RECEPTACION;13;194;Receptacion.;96;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;RECEPTACION;13;195;Formas agravadas;25;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;RECEPTACION;13;S/Art;RECEPTACIoN;9;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ROBO;14;188;Robo.;54;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ROBO;14;189;Robo agravado;141;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;ROBO;14;S/Art;RoBo;31;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;USURPACION;15;202;Usurpacion.;367;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;USURPACION;15;203;Desvio ilegal del curso de las aguas;2;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;USURPACION;15;204;Formas agravadas de usurpacion;79;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO;4;USURPACION;15;S/Art;USURPACIoN;37;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA EL PATRIMONIO CULTURAL;5;CONTRA LOS BIENES CULTURALES;16;226;Atentados contra monumentos arqueologicos;2;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
;;;;ENERO - DICIEMBRE;2023;1/08/2024;AMAZONAS;PENAL;DENUNCIA;CONTRA LA ADMINISTRACION PUBLICA;6;DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS;17;376;Abuso de autoridad;103;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;1/24/2024
