Subgénero,Estimación Casos Nuevos
DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,175
DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,131
VIOLACION DE LA LIBERTAD SEXUAL,92
DELITO DE PELIGRO COMUN,81
LESIONES,71
HOMICIDIO,71
DELITOS CONTRA LOS RECURSOS NATURALES,67
DELITOS COMETIDOS POR PARTICULARES,53
"CONTRA LA SALUD PUBLICA (CONTAMINACION Y PROPAGACION, TRAFICO ILICITO DE DROGAS)",51
ABORTO,28
DELITOS DE CONTAMINACION,23
LAVADO DE ACTIVOS,21
RESPONSABILIDAD FUNCIONAL E INFORMACION FALSA,11
DELITOS CONTRA DATOS Y SISTEMAS INFORMATICOS,11
DEFRAUDACION TRIBUTARIA,9
EXPLOTACION,8
DISPOSICIONES COMUNES,8
DELITOS CONTRA LA PAZ PUBLICA,7
"CONTRA LOS MEDIOS DE TRANSP., COMUNIC. Y OTROS SERV. PuBLICOS",6
VIOLACION DE DOMICILIO,5
PROXENETISMO,5
VIOLACION DE LA LIBERTAD PERSONAL,5
OFENSAS AL PUDOR PUBLICO,5
APROPIACION ILICITA,5
VIOLACION DE LA INTIMIDAD,5
USURPACION,5
TRATA DE PERSONAS,3
"LEY NÂº 30096, LEY DE DELITOS INFORMATICOS (Sin especificar delito subgenerico)",3
DELITOS INFORMATICOS CONTRA LA FE PUBLICA,3
CONTRA LA VIDA/EL CUERPO Y LA SALUD (Sin especificar delito subgenerico),2
ESTAFA Y OTRAS DEFRAUDACIONES,2
EXPOSICION A PELIGRO O ABANDONO DE PERSONAS EN PELIGRO,2
RECEPTACION,2
TRÃFICO DE MERCANCiAS PROHIBIDAS Y RESTRINGIDAS,2
CONTRABANDO (D.ADUAN.),2
CONTRA LA PROPIEDAD INDUSTRIAL,2
TORTURA,1
ROBO,1
VIOLACION DE LA LIBERTAD DE TRABAJO,1
OMISION DE ASISTENCIA FAMILIAR,1
VIOLACION DEL SECRETO DE LAS COMUNICAC.,1
DECRETO LEY 25475 (TERRORISMO),1
HURTO,1
FRAUDE EN LA ADMINISTR. DE PERS. JURID.,1
"FALSIFICACION DE SELLOS, TIMBRES Y MARCAS OFICIALES",1
FALSIFICACION DE DOCUMENTOS EN GENERAL,1
EXTORSION,1
DISCRIMINACION,1
DESAPARICION FORZADA,1
DAÑOS,1
DELITOS FINANCIEROS,1
LIBRAMIENTO Y COBRO INDEBIDO,0
CONTRA LOS BIENES CULTURALES,0
DE OTROS DELITOS ECONOMICOS,0
DELITOS MONETARIOS,0
DELITOS CONTRA LA ADMINISTRACION PUBLICA (Sin especificar delito subgenerico),0
USURA,0
"INJURIA,CALUMNIA Y DIFAMACION",0
ABIGEATO,0
